,10-million-years,40-watt,Are-you-lightning_F#,Are-you-thirsty-from-sweet-creep_G,Automatic_Eb,Be-set-free-lost-animals-2009_B,Blonde-on-blonde_C,Breathe_G,Butterfly-2013_D,Cherry-blossom_E,Chihuahua-rescue-live_C,ChinaDoll_E,Cold-afternoon_A,Colorblind_D,Come-on_E,Cries-after-making-love-live_C,Danny-dakota-the-wishing-well_D,Devices,Dirt,Disappear,Diy,Dont-wait-for-me-jacaranda-2008,Dont-you-fade-away,Driving-home-2015,Farther-along-love-war-the-sea-in-between-2011,Fire-by-night-over-oceans-2006,Flower-2013,Gambler,Garage,Get-me-outta-here,Happy-in-hindsight-live,Hollywood-2003,Hope-2008,I-love-leaving-live,I-see-99,Im-a-fool,Kaeleighs-song-2013,L-a-let-me-go,LetItBe_C,Lets-get-high,Live-while-im-alive,Made-my-bed,Message-in-the-sand,More-like-you,Mortal-tears-2013,Moving-on,Never-be-2003,New-york-apartment,No-confies-en-mi,Norman-2008,Not-enough-2003,Out-here,Paralysed,Pilot-me-live-on-mayne-island-the-sea-in-between-soundtrack-2013,Portales,Pretty-things,Princess-2013,Resplandor,RobotCoupe,Silent-orchids-2013,Simple-love,So-alone,Something-to-believe-in,Stadium-inn-from-sweet-creep,Stranger,The-mountain-and-the-muse-2015,TheBeginning,Three-friends-2013,Time-2008,Tired-hearts,Wet-pavement,WeveComeaLongLongWay,Winter-is-over-2012,Wtfamp-the-christmas-song,You-and-i-lost-control,
Chihuahua-rescue-live_C,0.095075,0.35874,0.10311,0.55556,0.155055,0.21181,0.11568,0.088765,0.17023,0.100915,0,0.343915,0.15569,0.145005,0.61847,0.13138,0.269005,0.087915,0.146725,0.168295,0.089775,0.106535,0.099185,0.145385,0.094765,0.11186,0.10155,0.129485,0.26792,0.258385,0.153075,0.089385,0.093785,0.226965,0.216405,0.53201,0.12158,0.198025,0.08894,0.863415,0.19106,0.105955,0.08627,0.09108,0.11013,0.09133,0.3266,0.09756,0.188945,0.85061,0.2229,0.15666,0.140455,0.13236,0.122425,0.20122,0.099085,0.1103,0.18562,0.10585,0.09674,0.10529,0.172765,0.1755,0.10961,0.098385,0.093125,0.100475,0.11096,0.12195,0.72561,0.22911,0.09881,0.122115,0.41667
ChinaDoll_E,0.340525,0.41667,0.33136,0.55556,0.38462,0.38462,0.38462,0.33602,0.342255,0.29796,0.343915,0,0.34414,0.38462,0.57143,0.38462,0.332285,0.359265,0.31624,0.38462,0.38462,0.351805,0.337495,0.353555,0.34428,0.321785,0.34973,0.33629,0.38462,0.38462,0.33337,0.38462,0.344645,0.32988,0.319835,0.625,0.38462,0.355875,0.359345,1.0,0.38462,0.338835,0.350625,0.346925,0.38462,0.361955,0.38462,0.34294,0.34696,1.0,0.38462,0.33284,0.33677,0.344675,0.35987,0.38462,0.3597,0.344315,0.38462,0.38462,0.34508,0.365015,0.343565,0.38462,0.3475,0.343295,0.351915,0.318205,0.33096,0.38462,0.83333,0.3147,0.338755,0.35398,0.363245
Cold-afternoon_A,0.16586,0.35333,0.167425,0.488395,0.174925,0.2241,0.17223,0.16245,0.15814,0.164735,0.15569,0.34414,0,0.1526,0.71429,0.15533,0.29328,0.16505,0.16788,0.1536,0.15282,0.154655,0.164335,0.16477,0.142755,0.16718,0.153565,0.1744,0.302855,0.286875,0.1664,0.16382,0.163675,0.23574,0.21579,0.460315,0.165235,0.2381,0.161015,1.0,0.186715,0.162125,0.1577,0.16078,0.16263,0.16383,0.338225,0.16261,0.19748,0.855,0.24636,0.1616,0.15495,0.151,0.15035,0.21625,0.167225,0.164865,0.20603,0.166155,0.16484,0.1604,0.152915,0.182605,0.16424,0.16305,0.1609,0.1576,0.151955,0.139515,0.703335,0.201885,0.17884,0.1664,0.34861
Colorblind_D,0.143635,0.33631,0.13692,0.474205,0.15665,0.22779,0.14286,0.145395,0.17422,0.14427,0.145005,0.38462,0.1526,0,0.62245,0.13621,0.256695,0.13901,0.156185,0.16223,0.13074,0.138715,0.149745,0.1474,0.133325,0.144435,0.14286,0.136735,0.306125,0.2327,0.150115,0.144685,0.131375,0.209985,0.18451,0.506695,0.144135,0.202665,0.144675,1.0,0.186795,0.147255,0.13803,0.136245,0.129095,0.14286,0.28857,0.14286,0.181525,0.857145,0.23523,0.15147,0.13855,0.1486,0.143495,0.20393,0.14489,0.140945,0.168685,0.158215,0.14402,0.14509,0.15538,0.17641,0.128075,0.12969,0.143805,0.15051,0.134375,0.12463,0.732145,0.23808,0.134255,0.13685,0.3497
Come-on_E,0.63466,0.71429,0.615385,0.71429,0.71429,0.61654,0.589795,0.610945,0.62013,0.592105,0.61847,0.57143,0.71429,0.62245,0,0.71429,0.61607,0.645675,0.71429,0.71429,0.52157,0.63393,0.61446,0.60165,0.615545,0.597745,0.60268,0.6,0.60204,0.59949,0.60286,0.71429,0.534985,0.5873,0.60795,0.71429,0.62709,0.608845,0.638535,1.0,0.61905,0.630505,0.603345,0.64193,0.60607,0.604865,0.71429,0.586955,0.71429,1.0,0.71429,0.71429,0.58867,0.71429,0.621215,0.60357,0.614955,0.71429,0.71429,0.630035,0.533605,0.71429,0.622025,0.6118,0.50804,0.62712,0.626565,0.618625,0.600385,0.63358,0.678575,0.593985,0.60348,0.62212,0.71429
Cries-after-making-love-live_C,0.122755,0.33871,0.12343,0.46774,0.147665,0.21053,0.13394,0.120065,0.165625,0.1304,0.13138,0.38462,0.15533,0.13621,0.71429,0,0.28188,0.12376,0.1508,0.15053,0.125485,0.12084,0.13331,0.180065,0.118425,0.131155,0.13239,0.127315,0.30398,0.25605,0.131895,0.132615,0.122705,0.209375,0.23032,0.512095,0.140465,0.228585,0.118665,1.0,0.1802,0.128555,0.121235,0.12966,0.1203,0.129715,0.2615,0.131835,0.18932,0.826615,0.23661,0.15571,0.13218,0.12708,0.114385,0.205725,0.128195,0.1266,0.184315,0.136075,0.11865,0.12833,0.170615,0.165195,0.12197,0.11447,0.124305,0.127005,0.121385,0.10833,0.70699,0.21562,0.132545,0.12487,0.35988
Danny-dakota-the-wishing-well_D,0.266395,0.38021,0.272685,0.55556,0.273285,0.26696,0.263005,0.262635,0.2571,0.25411,0.269005,0.332285,0.29328,0.256695,0.61607,0.28188,0,0.24084,0.260415,0.278125,0.25071,0.25223,0.26205,0.20628,0.266085,0.256065,0.24349,0.25,0.31409,0.251955,0.29328,0.264195,0.2551,0.25347,0.255245,0.625,0.277875,0.29185,0.25265,0.86875,0.26916,0.26398,0.25798,0.25974,0.271895,0.254655,0.38462,0.253395,0.27237,1.0,0.290365,0.252405,0.264885,0.26172,0.25663,0.3125,0.262695,0.260135,0.281605,0.27935,0.27384,0.290625,0.28125,0.2348,0.257575,0.29512,0.264015,0.262835,0.26098,0.250945,0.83333,0.27683,0.247845,0.23223,0.38021
Devices,0.06226,0.32328,0.103005,0.491375,0.150225,0.217335,0.105275,0.07537,0.184955,0.105575,0.087915,0.359265,0.16505,0.13901,0.645675,0.12376,0.24084,0,0.14453,0.16,0.08104,0.06718,0.06147,0.155175,0.069115,0.095615,0.08333,0.12914,0.31483,0.235045,0.14615,0.083435,0.074895,0.215945,0.21189,0.4375,0.11689,0.19726,0.06322,0.89138,0.178125,0.104355,0.08511,0.06215,0.10526,0.077095,0.291625,0.07424,0.1789,0.85776,0.22701,0.16328,0.132285,0.12641,0.11172,0.16931,0.06482,0.10429,0.185705,0.10234,0.06674,0.100315,0.16161,0.163355,0.11545,0.069135,0.063145,0.073165,0.10974,0.12121,0.716955,0.217215,0.066235,0.11546,0.350455
Dirt,0.14815,0.371915,0.142555,0.50617,0.17042,0.22176,0.168175,0.138225,0.19184,0.14815,0.146725,0.31624,0.16788,0.156185,0.71429,0.1508,0.260415,0.14453,0,0.16,0.133765,0.14205,0.13906,0.166175,0.151145,0.155765,0.15008,0.14815,0.305175,0.26273,0.16394,0.144445,0.150795,0.229425,0.21053,0.55266,0.16885,0.22802,0.14015,0.88148,0.19048,0.13925,0.14275,0.1442,0.14815,0.148935,0.319085,0.13989,0.192875,0.837965,0.239715,0.15894,0.14879,0.1299,0.143595,0.20278,0.149595,0.15284,0.192225,0.158015,0.1628,0.15391,0.170525,0.16516,0.1426,0.1576,0.149125,0.15453,0.142215,0.15008,0.748455,0.218325,0.140815,0.13788,0.391585
Disappear,0.15069,0.335,0.16,0.466665,0.147445,0.19834,0.170745,0.15227,0.167315,0.171055,0.168295,0.38462,0.1536,0.16223,0.71429,0.15053,0.278125,0.16,0.16,0,0.147675,0.160715,0.149995,0.16311,0.148845,0.16343,0.164585,0.16,0.272655,0.2525,0.164,0.150045,0.16939,0.22222,0.21507,0.5075,0.16584,0.20771,0.153505,0.88,0.176825,0.16737,0.16298,0.15652,0.140125,0.145295,0.316805,0.14699,0.1888,0.69,0.23173,0.149015,0.16,0.131315,0.13869,0.18875,0.166565,0.163245,0.19215,0.150175,0.165515,0.1634,0.154755,0.16484,0.16303,0.13543,0.127115,0.16393,0.147935,0.16182,0.713335,0.221,0.15809,0.13396,0.343475
